,Year,Female,Male,M/F
0,1990,3707.1428571428573,1061.4285714285713,28.631984585741804
1,1991,4221.666666666667,1163.8095238095239,27.56753708194687
2,1992,4724.761904761905,1236.1904761904761,26.164079822616408
3,1993,5098.809523809524,1286.1904761904761,25.22530936259631
4,1994,5364.523809523809,1329.047619047619,24.774754782299944
5,1995,5543.0952380952385,1358.095238095238,24.500665778961384
6,1996,5615.476190476191,1358.5714285714287,24.193343226627093
7,1997,5628.809523809524,1349.2857142857142,23.97106721373884
8,1998,5613.571428571428,1364.7619047619048,24.311829325189805
9,1999,5574.047619047619,1338.5714285714287,24.014352227585324
10,2000,5493.571428571428,1329.047619047619,24.19277943917133
11,2001,5380.714285714285,1288.8095238095239,23.95238727377318
12,2002,5254.761904761905,1259.2857142857142,23.964657906660626
13,2003,5061.190476190476,1210.7142857142858,23.921531730724
14,2004,4893.809523809524,1169.047619047619,23.888294249294542
15,2005,4725.714285714285,1124.7619047619048,23.80088673921806
16,2006,4641.9047619047615,1084.047619047619,23.353508411981945
17,2007,4530.0,1061.1904761904761,23.42583832650058
18,2008,4435.0,1036.904761904762,23.38003972727761
19,2009,4345.476190476191,1011.9047619047619,23.286395266012818
20,2010,4203.333333333333,971.1904761904761,23.105245270193723
21,2011,4017.3809523809523,932.8571428571429,23.220529840573697
22,2012,3897.3809523809523,899.5238095238095,23.0802125969821
23,2013,3706.904761904762,866.1904761904761,23.366947138544543
24,2014,3524.0476190476193,828.0952380952381,23.498412269441253
25,2015,3344.0476190476193,785.952380952381,23.50302598789605
26,2016,3176.6666666666665,744.7619047619048,23.444760905411485
27,2017,2994.7619047619046,703.3333333333334,23.485450787088567
28,2018,2795.4761904761904,666.9047619047619,23.856570990545954
29,2019,2663.809523809524,640.0,24.025741866285305
